source_path,source_layer,wave_hint,file_type,variable,variable_label,candidate_category,qualifies_for_strict_functional,nonmissing,sample_values,has_mergeid,strict_wave1_evidence
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12764,dofile,,do,,*Wave 2 respondent difficulty walking 100m,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12765,dofile,,do,,gen r2walk100a =.,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12766,dofile,,do,,"missing_common ph048d1 , result(r2walk100a)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12767,dofile,,do,,replace r2walk100a = 0 if ph048d1==0,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12768,dofile,,do,,replace r2walk100a = 1 if ph048d1==1,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12769,dofile,,do,,"label variable r2walk100a ""r2walk100a:w2 R Some Diff-Walk 100m""",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12771,dofile,,do,,*wave 2 spouse difficulty walking 100m,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12772,dofile,,do,,gen s2walk100a =.,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12773,dofile,,do,,"spouse r2walk100a, result(s2walk100a) wave(2)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12774,dofile,,do,,"label variable s2walk100a ""s2walk100a:w2 S Some Diff-Walk 100m""",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12777,dofile,,do,,label values r2walk100a adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12778,dofile,,do,,label values s2walk100a adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12794,dofile,,do,,label values r2sita adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12795,dofile,,do,,label values s2sita adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12811,dofile,,do,,label values r2chaira adldiff,bridge_performance_or_frailty,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12812,dofile,,do,,label values s2chaira adldiff,bridge_performance_or_frailty,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12828,dofile,,do,,label values r2climsa adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12829,dofile,,do,,label values s2climsa adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12845,dofile,,do,,label values r2clim1a adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12846,dofile,,do,,label values s2clim1a adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12862,dofile,,do,,label values r2stoopa adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12863,dofile,,do,,label values s2stoopa adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12879,dofile,,do,,label values r2lifta adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12880,dofile,,do,,label values s2lifta adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12896,dofile,,do,,label values r2dimea adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12897,dofile,,do,,label values s2dimea adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12913,dofile,,do,,label values r2armsa adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12914,dofile,,do,,label values s2armsa adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12930,dofile,,do,,label values r2pusha adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12931,dofile,,do,,label values s2pusha adldiff,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12936,dofile,,do,,egen r`wv'adltotm_s = rowmiss(r`wv'batha r`wv'dressa r`wv'eata r`wv'beda r`wv'walkra r`wv'toilta) if inw`wv' == 1,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12940,dofile,,do,,gen s`wv'adltotm_s =.,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12941,dofile,,do,,"spouse r`wv'adltotm_s, result(s`wv'adltotm_s) wave(2)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12945,dofile,,do,,foreach v of varlist r`wv'batha r`wv'dressa r`wv'eata r`wv'beda r`wv'walkra r`wv'toilta{,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12951,dofile,,do,,gen r`wv'adltot_s =.,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12952,dofile,,do,,"missing_h r`wv'batha r`wv'dressa r`wv'eata r`wv'beda r`wv'walkra r`wv'toilta, result(r`wv'adltot_s)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12953,dofile,,do,,"replace r`wv'adltot_s = r`wv'batha_m + r`wv'dressa_m + r`wv'eata_m + r`wv'beda_m + r`wv'walkra_m + r`wv'toilta_m if inrange(r`wv'adltotm_s,0,5)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12954,dofile,,do,,"label variable r`wv'adltot_s ""r`wv'adltot_s:w2 R Some Diff-ADLs /0-6""",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12957,dofile,,do,,gen s`wv'adltot_s =.,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12958,dofile,,do,,"spouse r`wv'adltot_s, result(s`wv'adltot_s) wave(2)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12959,dofile,,do,,"label variable s`wv'adltot_s ""s`wv'adltot_s:w2 S Some Diff-ADLs /0-6""",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12962,dofile,,do,,gen r`wv'adltota_s = .,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12963,dofile,,do,,"missing_h r`wv'batha r`wv'dressa r`wv'eata r`wv'beda r`wv'walkra r`wv'toilta, result(r`wv'adltota_s)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12964,dofile,,do,,"replace r`wv'adltota_s = 0 if r`wv'adltot_s==0 & inrange(r`wv'adltotm_s,0,6)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12965,dofile,,do,,"replace r`wv'adltota_s = 1 if inrange(r`wv'adltot_s, 1, 6) & inrange(r`wv'adltotm_s,0,6)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12966,dofile,,do,,"label var r`wv'adltota_s	""r`wv'adltota_s:w`wv' Whether R Has Any Diff-All ADLs""",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12967,dofile,,do,,label value r`wv'adltota_s yesnoda,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12970,dofile,,do,,gen s`wv'adltota_s = .,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12971,dofile,,do,,"spouse r`wv'adltota_s, result(s`wv'adltota_s) wave(`wv')",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12972,dofile,,do,,"label var s`wv'adltota_s	""s`wv'adltota_s:w`wv' Whether S Has Any Diff-All ADLs""",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12973,dofile,,do,,label value s`wv'adltota_s yesnoda,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12980,dofile,,do,,egen r`wv'adlwam = rowmiss(r`wv'batha r`wv'dressa r`wv'eata) if inw`wv' == 1,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12984,dofile,,do,,gen s`wv'adlwam =.,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12985,dofile,,do,,"spouse r`wv'adlwam, result(s`wv'adlwam) wave(2)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12988,dofile,,do,,local adlw,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12991,dofile,,do,,local adlw `adlw' `v'_m,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12995,dofile,,do,,gen r`wv'adlwa =.,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12996,dofile,,do,,"missing_h r`wv'batha r`wv'dressa r`wv'eata, result(r`wv'adlwa)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12997,dofile,,do,,"replace r`wv'adlwa = r`wv'batha_m + r`wv'dressa_m + r`wv'eata_m if inrange(r`wv'adlwam,0,2)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:12998,dofile,,do,,"label variable r`wv'adlwa ""r`wv'adlwa:w2 R Some Diff-ADLs:Wallace /0-3""",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13001,dofile,,do,,gen s`wv'adlwa =.,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13002,dofile,,do,,"spouse r`wv'adlwa, result(s`wv'adlwa) wave(2)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13003,dofile,,do,,"label variable s`wv'adlwa ""s`wv'adlwa:w2 S Some Diff-ADLs:Wallace /0-3""",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13006,dofile,,do,,drop `adlw',strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13009,dofile,,do,,gen r`wv'adlwaa = .,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13010,dofile,,do,,"missing_h r`wv'batha r`wv'dressa r`wv'eata, result(r`wv'adlwaa)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13011,dofile,,do,,"replace r`wv'adlwaa = 0 if r`wv'adlwa==0 & inrange(r`wv'adlwam,0,3)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13012,dofile,,do,,"replace r`wv'adlwaa = 1 if inrange(r`wv'adlwa, 1, 3) & inrange(r`wv'adlwam,0,3)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13013,dofile,,do,,"label var r`wv'adlwaa	""r`wv'adlwaa:w`wv' Whether R Has Any Diff-Wallace 3 ADLs""",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13014,dofile,,do,,label value r`wv'adlwaa yesnoda,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13017,dofile,,do,,gen s`wv'adlwaa = .,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13018,dofile,,do,,"spouse r`wv'adlwaa, result(s`wv'adlwaa) wave(`wv')",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13019,dofile,,do,,"label var s`wv'adlwaa	""s`wv'adlwaa:w`wv' Whether S Has Any Diff-Wallace 3 ADLs""",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13020,dofile,,do,,label value s`wv'adlwaa yesnoda,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13024,dofile,,do,,egen r`wv'adlam = rowmiss(r`wv'batha r`wv'dressa r`wv'eata r`wv'beda r`wv'walkra) if inw`wv' == 1,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13028,dofile,,do,,gen s`wv'adlam =.,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13029,dofile,,do,,"spouse r`wv'adlam, result(s`wv'adlam) wave(`wv')",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13033,dofile,,do,,"egen r`wv'adla = rowtotal(r`wv'batha r`wv'dressa r`wv'eata r`wv'beda r`wv'walkra) if inrange(r`wv'adlam,0,4),m",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13034,dofile,,do,,"missing_h r`wv'batha r`wv'dressa r`wv'eata r`wv'beda r`wv'walkra, result(r`wv'adla)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13035,dofile,,do,,"label var r`wv'adla	""r`wv'adla:w`wv' R Some Diff-ADLs:Wallace /0-5""",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13038,dofile,,do,,gen s`wv'adla = .,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13039,dofile,,do,,"spouse r`wv'adla, result(s`wv'adla) wave(`wv')",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13040,dofile,,do,,"label var s`wv'adla	""s`wv'adla:w`wv' S Some Diff-ADLs:Wallace /0-5""",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13043,dofile,,do,,gen r`wv'adlaa = .,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13044,dofile,,do,,"missing_h r`wv'batha r`wv'dressa r`wv'eata r`wv'beda r`wv'walkra, result(r`wv'adlaa)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13045,dofile,,do,,"replace r`wv'adlaa = 0 if r`wv'adla==0 & inrange(r`wv'adlam,0,5)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13046,dofile,,do,,"replace r`wv'adlaa = 1 if inrange(r`wv'adla, 1, 5) & inrange(r`wv'adlam,0,5)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13047,dofile,,do,,"label var r`wv'adlaa	""r`wv'adlaa:w`wv' Whether R Has Any Diff-Wallace 5 ADLs""",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13048,dofile,,do,,label value r`wv'adlaa yesnoda,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13051,dofile,,do,,gen s`wv'adlaa = .,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13052,dofile,,do,,"spouse r`wv'adlaa, result(s`wv'adlaa) wave(`wv')",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13053,dofile,,do,,"label var s`wv'adlaa	""s`wv'adlaa:w`wv' Whether S Has Any Diff-Wallace 5 ADLs""",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13054,dofile,,do,,label value s`wv'adlaa yesnoda,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13058,dofile,,do,,egen r`wv'adlfivem = rowmiss(r`wv'batha r`wv'dressa r`wv'eata r`wv'beda r`wv'toilta) if inw`wv' == 1,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13062,dofile,,do,,gen s`wv'adlfivem =.,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13063,dofile,,do,,"spouse r`wv'adlfivem, result(s`wv'adlfivem) wave(`wv')",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13067,dofile,,do,,"egen r`wv'adlfive = rowtotal(r`wv'batha r`wv'dressa r`wv'eata r`wv'beda r`wv'toilta) if inrange(r`wv'adlfivem,0,4),m",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13068,dofile,,do,,"missing_h r`wv'batha r`wv'dressa r`wv'eata r`wv'beda r`wv'toilta, result(r`wv'adlfive)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13072,dofile,,do,,gen s`wv'adlfive = .,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13073,dofile,,do,,"spouse r`wv'adlfive, result(s`wv'adlfive) wave(`wv')",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13077,dofile,,do,,gen r`wv'adlfivea = .,strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13078,dofile,,do,,"missing_h r`wv'batha r`wv'dressa r`wv'eata r`wv'beda r`wv'toilta, result(r`wv'adlfivea)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13079,dofile,,do,,"replace r`wv'adlfivea = 0 if r`wv'adlfive==0 & inrange(r`wv'adlfivem,0,5)",strict_like_functional_limitation,0,,,,0
/mnt/e/Database/七大老年健康数据库数据/7.SHARE 欧洲/SHARE_欧洲/Raw_data/Harmonized SHARE/H_SHARE_long.do:13080,dofile,,do,,"replace r`wv'adlfivea = 1 if inrange(r`wv'adlfive, 1, 5) & inrange(r`wv'adlfivem,0,5)",strict_like_functional_limitation,0,,,,0
